,sku,l1,l2,l3,img,l3_actual
0,D65650003_BLACK,Men,Shoes,Slippers,https://media.6media.me/media/catalog/product/5/4/5401039117557-1.jpg,Slippers
1,12227774_PINK,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/5/7/5715362687008-1.jpg,T-Shirts
2,207194-250_BEIGE,Men,Shoes,Sandals,https://media.6media.me/media/catalog/product/a/l/al3ms990-1.jpg,Sandals
3,AR62342748F22-GREEN,Men,Clothing,Shirts,https://media.6media.me/media/catalog/product/7/7/77727573322-1.jpg,Shirts
4,BP-BH-205_WHITE,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/3/0/30220502003422-1.jpg,T-Shirts
5,BP-M2273_BLACK,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/b/p/bp-m2273-black-1.jpg,T-Shirts
6,S116445-110_MULTI,Men,Accessories,Socks,https://media.6media.me/media/catalog/product/8/0/806409711352-4.jpg,Socks
7,50475295_BLACK,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/4/0/4063534486845-p.jpg,T-Shirts
9,86105193_BLACK,Men,Clothing,Hoodies & Sweatshirts,https://media.6media.me/media/catalog/product/8/6/86105193-1.jpg,Hoodies & Sweatshirts
10,BP-M2272-BLUE,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/b/p/bp-m2272-blue-1.jpg,T-Shirts
11,246001-BURGBURGUNDY,Men,Shoes,Performance,https://media.6media.me/media/catalog/product/1/9/195969311271-1_1.jpg,Performance
12,TMNSS23SR00035_BLACK,Women,Clothing,Shorts,https://media.6media.me/media/catalog/product/6/2/624802648-1.jpg,Shorts
13,TMNAW22SW0139-NAVY-BLUE,Men,Clothing,Hoodies & Sweatshirts,https://media.6media.me/media/catalog/product/2/1/212930381-1.jpg,Hoodies & Sweatshirts
14,20151-SNAVY-BLUE_NAVY,Men,Shoes,Sandals,https://media.6media.me/media/catalog/product/6/2/6292274370598-2.jpg,Sandals
15,SS21MDRPSWT12_NAVY-BLUE,Men,Clothing,Hoodies & Sweatshirts,https://media.6media.me/media/catalog/product/n/4/n49035048v_1.jpg,Hoodies & Sweatshirts
16,NKDV9815-379_GREEN,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/d/v/dv9815-379-1.jpg,T-Shirts
17,NKBV2721-100_WHITE,Men,Clothing,Shorts,https://media.6media.me/media/catalog/product/b/v/bv2721-100-1.jpg,Shorts
18,AR60171870F21_MULTI,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/7/7/77718275321-1.jpg,T-Shirts
19,LCW-S31822Z8-QMG,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/s/3/s31822z8-qmg-1.jpg,T-Shirts
20,CK6-K10K110789BEH,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/8/7/8720107083868-1.jpg,T-Shirts
21,20KINGSLEY-220_BROWN,Men,Shoes,Formal Shoes,https://media.6media.me/media/catalog/product/1/6/16455518-1.jpg,Formal Shoes
22,BPM2089_GREY,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/m/2/m2089_heather_charcoal-2.jpg,T-Shirts
23,50447978_PINK,Men,Clothing,T-Shirts,https://media.6media.me/media/catalog/product/4/0/4063536275614-1.jpg,T-Shirts
